Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
10804,Guaribas,0.508,Baixo,PT,Baixo PT,2.01,59,97.99,2879,2938
10707,Capitão Gervásio Oliveira,0.553,Baixo,PT,Baixo PT,4.34,121,95.66,2667,2788
23167,Carnaubeira da Penha,0.573,Baixo,PT,Baixo PT,4.77,371,95.23,7402,7773
10081,Bonfim do Piauí,0.542,Baixo,PT,Baixo PT,5.23,179,94.77,3241,3420
10260,Fartura do Piauí,0.548,Baixo,PT,Baixo PT,5.28,166,94.72,2978,3144
10502,São Braz do Piauí,0.596,,PT, PT,5.56,160,94.44,2720,2880
10626,Bela Vista do Piauí,0.576,Baixo,PT,Baixo PT,5.61,155,94.39,2607,2762
10243,Coronel José Dias,0.546,Baixo,PT,Baixo PT,5.94,209,94.06,3312,3521
27022,Pariconha,0.548,Baixo,PT,Baixo PT,6.08,374,93.92,5777,6151
10979,Isaías Coelho,0.582,Baixo,PT,Baixo PT,6.15,278,93.85,4246,4524
10960,Nova Santa Rita,0.554,Baixo,PT,Baixo PT,6.28,180,93.72,2685,2865
12467,Massapê do Piauí,0.525,Baixo,PT,Baixo PT,6.33,259,93.67,3833,4092
7161,Belágua,0.512,Baixo,PT,Baixo PT,6.34,295,93.66,4358,4653
8524,Serrano do Maranhão,0.519,Baixo,PT,Baixo PT,6.36,322,93.64,4743,5065
28150,Olho D’água do Casado,0.525,Baixo,PT,Baixo PT,6.63,319,93.37,4494,4813
12289,Pavussu,0.526,Baixo,PT,Baixo PT,6.67,176,93.33,2462,2638
10413,Campinas do Piauí,0.544,Baixo,PT,Baixo PT,6.84,250,93.16,3405,3655
36714,Jussara,0.571,Baixo,PT,Baixo PT,6.89,592,93.11,7998,8590
12122,Betânia do Piauí,0.489,Baixo,PT,Baixo PT,6.93,275,93.07,3696,3971
24392,Inajá,0.523,Baixo,PT,Baixo PT,7.00,682,93.00,9057,9739
19798,Camalaú,0.567,Baixo,PT,Baixo PT,7.01,297,92.99,3939,4236
12181,Curral Novo do Piauí,0.527,Baixo,PT,Baixo PT,7.04,220,92.96,2907,3127
12351,Campo Alegre do Fidalgo,0.537,Baixo,PT,Baixo PT,7.13,233,92.87,3034,3267
12297,Dirceu Arcoverde,0.561,Baixo,PT,Baixo PT,7.19,305,92.81,3935,4240
23000,Quixaba,0.577,Baixo,PT,Baixo PT,7.31,329,92.69,4169,4498
12602,Ribeira do Piauí,0.520,Baixo,PT,Baixo PT,7.47,187,92.53,2315,2502
16187,Venha-ver,0.555,Baixo,PT,Baixo PT,7.55,181,92.45,2217,2398
23248,Manari,0.487,Baixo,PT,Baixo PT,7.59,681,92.41,8297,8978
35890,Iraquara,0.599,,PT, PT,7.62,968,92.38,11729,12697
26034,Terra Nova,0.599,,PT, PT,7.68,469,92.32,5641,6110
12556,Vera Mendes,0.503,Baixo,PT,Baixo PT,7.70,187,92.30,2243,2430
19569,Santa Inês,0.572,Baixo,PT,Baixo PT,7.74,190,92.26,2265,2455
10561,São Lourenço do Piauí,0.595,,PT, PT,7.81,274,92.19,3233,3507
7455,Cajapió,0.553,Baixo,PT,Baixo PT,7.85,422,92.15,4956,5378
27014,Água Branca,0.549,Baixo,PT,Baixo PT,7.86,812,92.14,9520,10332
7420,Central do Maranhão,0.585,,PT, PT,7.86,313,92.14,3669,3982
33260,Andorinha,0.588,,PT, PT,7.92,717,92.08,8339,9056
12360,Cocal de Telha,0.555,Baixo,PT,Baixo PT,7.95,245,92.05,2836,3081
33812,Boquira,0.603,,PT, PT,7.99,873,92.01,10054,10927
25852,Moreilândia,0.600,,PT, PT,8.01,533,91.99,6120,6653
12386,João Costa,0.561,Baixo,PT,Baixo PT,8.02,188,91.98,2156,2344
19488,Mato Grosso,0.565,Baixo,PT,Baixo PT,8.05,143,91.95,1633,1776
19445,São José de Princesa,0.565,Baixo,PT,Baixo PT,8.06,190,91.94,2166,2356
23353,Betânia,0.559,Baixo,PT,Baixo PT,8.09,508,91.91,5770,6278
2119,Barreirinha,0.574,Baixo,PT,Baixo PT,8.19,1036,91.81,11611,12647
37222,Matina,0.572,Baixo,PT,Baixo PT,8.21,529,91.79,5915,6444
23639,Caetés,0.522,Baixo,PT,Baixo PT,8.27,1112,91.73,12333,13445
17710,Paraná,0.589,,PT, PT,8.29,213,91.71,2356,2569
25070,Parnamirim,0.599,,PT, PT,8.29,1049,91.71,11606,12655
7013,Afonso Cunha,0.529,Baixo,PT,Baixo PT,8.46,374,91.54,4048,4422
