Instituição,Turmas,Bolsas,Mensalidade (média)
Centro Universitário de Araras - - Unar - UNAR,1,2,681.48
Escola de Educação Física de Assis - EEFA,1,18,554.4
Escola Superior de Administração de Empresas - INEA,1,4,589
Faculdade Anhanguera de Matão,1,6,618
Faculdade Cidade Luz - FACILUZ,1,18,952.2
Faculdade de Administração de Assis - FAA,1,15,692.1
Faculdade de Agronegócios de Holambra - FAAGROH,1,7,680
Faculdade de Ciências Contábeis de Assis - FCCA,1,5,692.1
Faculdade de Ciências Médicas de São José dos Campos,1,6,7990
Faculdade de Direito da Alta Paulista - FADAP,1,7,828.4
Faculdade de Educação de Assis - FAEDA,1,18,554.4
Faculdade de Educação de Guaratinguetá - FACEG,1,18,554.4
Faculdade de Música Carlos Gomes - FMCG,1,3,554.4
Faculdade de São Bernardo do Campo - FAPAN,1,18,952.2
Faculdade de São José dos Campos - BILAC,1,1,589
Faculdade de São Roque - FAEV,1,18,952.2
Faculdade Dourado - FD,1,6,504.9
Faculdade Estácio de Santo André - ESTÁCIO SANTO ANDRÉ,1,9,655.71
Faculdade Fleming - SEF,1,18,554.4
Faculdade Metropolitana do Estado de São Paulo - FAMEESP,1,7,1422.9
Faculdade Praia Grande - FPG,1,8,980
Faculdade Ubs - FACULDADE UBS,1,10,490
Centro Superior de Estudos Jurídicos Carlos Drummond de Andrade - Csejcda - CSEJCDA,2,12,915.5
Escola Superior de Administração e Gestão Strong da Baixada Santista,2,7,1380
Faculdade Anhanguera de Sertãozinho - FASERT,2,9,628
Faculdade Barão de Piratininga - AES,2,30,623.25
Faculdade de Administração Ciências Econ e Contábeis de Guaratinguetá - FACEAG,2,24,692.1
Faculdade de Araraquara - FARA,2,35,753.3
Faculdade de Educação Ciências e Artes Dom Bosco de Monte Aprazível - FAECA DOM BOSCO,2,10,584.5
Faculdade de Ilha Solteira - FAISA,2,32,623.25
Faculdade de Itápolis - Facita - FACITA,2,6,514.5
Faculdade de Marília - FAMAR,2,33,623.25
Faculdade de Tecnologia em Saúde - FATESA,2,20,585
Faculdade Itanhaém - FAITA,2,13,496.925
Faculdade Messianica,2,32,236.25
Faculdade Santa Rita - FASAR,2,2,616.025
Faculdades Network - Campus Sumaré,2,42,530
Faculdade Alfa América,3,75,738
"Faculdade Anhanguera de Educação, Ciências e Tecnologia de Sorocaba",3,8,754.6666667
Faculdade Anhanguera Pitágoras Votorantim - -,3,14,954.6666667
Faculdade Cenecista de Capivari - FACECAP,3,5,905.0766667
Faculdade de Bauru - -,3,36,584.4
Faculdade de Hortolândia - FACH,3,24,584.4
Faculdade de Itapecerica da Serra - FIT,3,51,600.3
Faculdade de Porto Feliz,3,6,521.55
Faculdade de Rancharia,3,38,600.3
Faculdade de Sertãozinho,3,51,600.3
Faculdade de Sorocaba,3,54,646.2
Faculdade de Tecnologia Bandeirantes - BANDTEC,3,17,1150
Faculdade de Tupã,3,42,819.6
Faculdade Dehoniana - DEHONIANA,3,14,888.55
Faculdade Network - NWK,3,46,530
Faculdade São Lucas de Caçapava - FSL,3,20,840.5533333
Faculdade Unità - UNITÀ,3,9,1116.666667
"Fatece - Faculdade de Tecnologia, Ciências e Educação - FATECE",3,21,561.4
Faculdade Centro Paulistano,4,54,623.25
Faculdade de Administração de Empresas - FACAMP,4,8,3851
Faculdade de Boituva - FIB,4,72,722.7
Faculdade de Ciências Econômicas - FACAMP,4,21,3851
